index,num,name,blog or review,blog name,like_count_list,command_count_list,img_count,neighber_count,blog review
149,21,배곧 양푼애등갈비,블로그 리뷰,"♡배곧 중심상가 매운 갈비찜 양푼등갈비 맛집, 양푼애등갈비",30,6,11,3008,[]
150,22,배곧 양푼애등갈비,블로그 리뷰,시흥 배곧맛집 양푼애등갈비 솔직후기,1,1,14,795,[]
151,23,배곧 양푼애등갈비,블로그 리뷰,[배곧] 매콤한 인기 등갈비집 : 양푼애등갈비,5,2,16,63,['안녕하세']
152,24,배곧 양푼애등갈비,블로그 리뷰,배곧 회식장소 호불호없네,7,0,27,2073,"['제', '쪽', '할']"
153,25,배곧 양푼애등갈비,블로그 리뷰,배곧 양푼애등갈비 - 내돈내먹 후기,2,1,10,84,[]
154,26,배곧 양푼애등갈비,블로그 리뷰,배곧 맛집 포장도 가능해요.,3,0,10,115,['제']
155,27,배곧 양푼애등갈비,블로그 리뷰,손꼽아본 배곧 가볼만한곳 ,10,8,10,915,['양푼']
156,28,배곧 양푼애등갈비,블로그 리뷰,[배곧 맛집] 매운 등갈비 맛집 #양푼애등갈비,12,18,12,428,[]
157,29,배곧 양푼애등갈비,블로그 리뷰,[배곧] 양푼애등갈비 방문 솔직후기,6,2,16,234,[]
158,30,배곧 양푼애등갈비,블로그 리뷰,2021년 3월의 일상이야기,22,21,11,162,"['오랜', '블로그', '일상', '개인', '제일']"
159,31,배곧 양푼애등갈비,블로그 리뷰,[배곧 맛집]돈스파이크도 반한 매콤한 등갈비 ‘양푼애등갈비’ 맛집 추천,3,2,26,1125,[]
160,32,배곧 양푼애등갈비,블로그 리뷰,시흥 정왕동 밥집 푸짐하니 변함없군,3,1,29,1043,"['먹', '잡쿵', '.', '살이', '룩', '룩', '그럼에도']"
161,33,배곧 양푼애등갈비,블로그 리뷰,정왕동 고기집 맛있게 먹었어요,7,1,32,304,"['얼마', '동생', '같이']"
162,34,배곧 양푼애등갈비,블로그 리뷰,"[시흥/배곧] 매운갈비찜 양푼애등갈비 후기! (+위치,메뉴) ",0,0,13,63,"['일', '어어', '쓰는']"
163,35,배곧 양푼애등갈비,블로그 리뷰,[배곧 맛집] 돈스파이크가 다녀 간 등갈비 맛집 양푼애등갈비 배곧 직영점 솔직 후기 ๑'ڡ'๑ ,44,26,27,518,[]
164,36,배곧 양푼애등갈비,블로그 리뷰,배곧 점심으로 딱이야,6,11,31,289,['요새']
165,37,배곧 양푼애등갈비,블로그 리뷰,배곧 고깃집 내 맘에 쏙,4,0,28,67,"['올해', '때문', '못', '참']"
166,38,배곧 양푼애등갈비,블로그 리뷰,배곧 밥집 든든해요!,13,0,31,2568,['오랜']
167,39,배곧 양푼애등갈비,블로그 리뷰,배곧 진짜 매운 갈비찜 [양푼애등갈비],7,5,22,136,[]
168,40,배곧 양푼애등갈비,블로그 리뷰,배곧등갈비찜 먹을만한곳 양푼애,38,5,9,3560,"['쑤리', '.', '10월']"
169,41,배곧 양푼애등갈비,블로그 리뷰,배곧 고기맛집 마성의 맛,26,16,24,5721,[]
170,42,배곧 양푼애등갈비,블로그 리뷰,배곧신도시 고기집 추천해요,36,8,24,569,[]
171,43,배곧 양푼애등갈비,블로그 리뷰,매력적인 배곧신도시 맛집,12,1,26,3372,['얼마']
172,44,배곧 양푼애등갈비,블로그 리뷰,양푼애 등갈비 등골이 빠져도 먹고 보자,98,37,5,3597,"['처음', '갈비']"
173,45,배곧 양푼애등갈비,블로그 리뷰,[배곧]양푼애 내돈내산 솔직후기,23,2,13,603,[]
175,47,배곧 양푼애등갈비,블로그 리뷰,진한 맛이 일품인 배곧 고깃집,4,1,27,1529,[]
176,48,배곧 양푼애등갈비,블로그 리뷰,배곧 점심은 등갈비로!,0,0,33,40,"['항상', '같은', '만', '보', '질리기']"
177,49,배곧 양푼애등갈비,블로그 리뷰,배곧 고기맛집 속이 따뜻해져,0,0,22,702,[]
178,50,배곧 양푼애등갈비,블로그 리뷰,시흥 배곧 양푼애등갈비,48,16,17,1843,[]
179,51,배곧 양푼애등갈비,블로그 리뷰,배곧 고깃집 꿀맛탱이네요,85,4,33,2602,['얼마']
